Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
"Wilmington, DE",2016,26,6,,3,,2,,1,,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Norfolk, VA",2016,26,46,,35,,8,,3,,,-,,-,2,,"Norfolk, VA (36.846164, -76.285913)",
"Savannah, GA",2016,26,52,,35,,13,,4,,,-,,-,5,,"Savannah, GA (40.115007, -111.654713)",
"Milwaukee, WI",2016,26,78,,53,,19,,5,,1,,,-,6,,"Milwaukee, WI (43.041072, -87.909421)",
"Rockford, IL",2016,26,59,,41,,10,,7,,,-,1,,3,,"Rockford, IL (42.266802, -89.088377)",
"Chattanooga, TN",2016,26,109,,71,,28,,7,,1,,2,,5,,"Chattanooga, TN (35.045756, -85.308287)",
"Washington, D.C.",2016,26,332,,210,,90,,25,,2,,5,,31,,"Washington, D.C. (38.892062, -77.019912)",
"St. Petersburg, FL",2016,26,72,,53,,15,,2,,2,,,-,2,,"St. Petersburg, FL (27.772069, -82.638488)",
W.S. Central,2016,26,1278,,794,,315,,110,,35,,24,,63,,,
Mountain,2016,26,1109,,746,,234,,84,,27,,17,,64,,,
Pacific,2016,26,1590,,1106,,345,,85,,29,,24,,89,,,
"Las Vegas, NV",2016,26,317,,230,,54,,25,,6,,2,,21,,"Las Vegas, NV (36.169202, -115.140597)",
"Pueblo, CO",2016,26,14,,7,,6,,,-,1,,,-,2,,"Pueblo, CO (28.151559, -82.351822)",
"Phoenix, AZ",2016,26,193,,115,,53,,13,,5,,6,,7,,"Phoenix, AZ (30.406931, -87.217578)",
"Tulsa, OK",2016,26,107,,67,,30,,8,,2,,,-,9,,"Tulsa, OK (61.096484, -160.967455)",
"Shreveport, LA",2016,26,79,,52,,20,,3,,2,,2,,,-,"Shreveport, LA (32.51424, -93.747757)",
"Denver, CO",2016,26,15,,11,,2,,,-,1,,1,,,-,"Denver, CO (39.738453, -104.984853)",
"El Paso, TX",2016,26,86,,64,,19,,3,,,-,,-,1,,"El Paso, TX (31.76006, -106.492257)",
"Mobile, AL",2016,26,81,,49,,20,,9,,2,,1,,6,,"Mobile, AL (34.661541, -77.695461)",
"Corpus Christi, TX",2016,26,81,,48,,22,,11,,,-,,-,9,,"Corpus Christi, TX (27.796416, -97.404131)",
"Memphis, TN",2016,26,,U,,U,,U,,U,,U,,U,,U,"Memphis, TN (35.143378, -90.052136)",
"Dallas, TX",2016,26,216,,119,,64,,19,,6,,8,,9,,"Dallas, TX (37.691113, -122.472221)",
"New Orleans, LA",2016,26,62,,30,,18,,10,,4,,,-,1,,"New Orleans, LA (29.950621, -90.074948)",
"Montgomery, AL",2016,26,63,,35,,19,,6,,1,,1,,1,,"Montgomery, AL (32.376547, -86.299651)",
Total_,2016,26,11074,,7344,,2532,,767,,242,,186,,583,,,
"Birmingham, AL",2016,26,176,,110,,43,,14,,4,,5,,13,,"Birmingham, AL (33.522859, -86.807705)",
"Minneapolis, MN",2016,26,77,,38,,21,,6,,6,,6,,2,,"Minneapolis, MN (44.977479, -93.264346)",
"Fort Worth, TX",2016,26,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Jacksonville, FL",2016,26,165,,99,,44,,14,,4,,4,,11,,"Jacksonville, FL (30.325968, -81.65676)",
"Lansing, MI",2016,26,59,,46,,8,,5,,,-,,-,6,,"Lansing, MI (42.733625, -84.553927)",
"Hartford, CT",2016,26,52,,31,,13,,4,,2,,2,,6,,"Hartford, CT (41.765775, -72.673356)",
"Youngstown, OH",2016,26,54,,33,,16,,3,,1,,1,,2,,"Youngstown, OH (41.100083, -80.649387)",
"Indianapolis, IN",2016,26,212,,121,,57,,21,,7,,6,,12,,"Indianapolis, IN (39.76845, -86.156212)",
"St. Louis, MO",2016,26,78,,35,,27,,11,,4,,1,,3,,"St. Louis, MO (38.630276, -90.200309)",
"Cambridge, MA",2016,26,11,,9,,2,,,-,,-,,-,2,,"Cambridge, MA (42.365248, -71.105015)",
"Bridgeport, CT",2016,26,36,,25,,7,,4,,,-,,-,2,,"Bridgeport, CT (41.179195, -73.189476)",
"Detroit, MI",2016,26,160,,81,,57,,10,,5,,7,,10,,"Detroit, MI (42.332916, -83.047853)",
"Boston, MA",2016,26,127,,88,,27,,6,,1,,5,,11,,"Boston, MA (42.358894, -71.056742)",
"Omaha, NE",2016,26,55,,37,,11,,6,,,-,1,,4,,"Omaha, NE (46.07035, -93.666319)",
"Providence, RI",2016,26,86,,68,,12,,2,,4,,,-,3,,"Providence, RI (41.824461, -71.412747)",
"New Bedford, MA",2016,26,20,,15,,4,,1,,,-,,-,2,,"New Bedford, MA (41.63405, -70.92766)",
"Wichita, KS",2016,26,90,,56,,21,,6,,5,,2,,9,,"Wichita, KS (39.960481, -75.605214)",
"St. Paul, MN",2016,26,67,,38,,22,,5,,1,,1,,2,,"St. Paul, MN (44.943719, -93.094281)",
"New Haven, CT",2016,26,11,,7,,4,,,-,,-,,-,3,,"New Haven, CT (42.856701, -78.741699)",
"Atlanta, GA",2016,26,153,,90,,40,,12,,7,,4,,6,,"Atlanta, GA (33.748547, -84.391502)",
"Portland, OR",2016,26,121,,89,,23,,4,,2,,3,,3,,"Portland, OR (45.516018, -122.681425)",
"Spokane, WA",2016,26,81,,58,,18,,3,,,-,2,,2,,"Spokane, WA (47.658999, -117.425022)",
"San Francisco, CA",2016,26,129,,79,,33,,13,,2,,2,,7,,"San Francisco, CA (37.78008, -122.420168)",
"Knoxville, TN",2016,26,100,,75,,17,,7,,,-,1,,3,,"Knoxville, TN (35.962631, -83.916677)",
"Charlotte, NC",2016,26,152,,99,,35,,8,,4,,6,,4,,"Charlotte, NC (35.222936, -80.840161)",
"Tacoma, WA",2016,26,123,,86,,26,,11,,,-,,-,4,,"Tacoma, WA (32.221878, -110.971225)",
"Miami, FL",2016,26,42,,33,,8,,1,,,-,,-,2,,"Miami, FL (44.977479, -93.264346)",
"Berkeley, CA",2016,26,20,,18,,2,,,-,,-,,-,1,,"Berkeley, CA (40.692529, -73.990996)",
"Worcester, MA",2016,26,43,,28,,13,,2,,,-,,-,6,,"Worcester, MA (42.262073, -71.802278)",
"Grand Rapids, MI",2016,26,62,,45,,13,,3,,,-,1,,5,,"Grand Rapids, MI (47.925705, -97.036068)",
"Lowell, MA",2016,26,16,,12,,2,,2,,,-,,-,,-,"Lowell, MA (40.672798, -76.279404)",
"Little Rock, AR",2016,26,94,,66,,14,,8,,2,,4,,8,,"Little Rock, AR (34.748745, -92.275105)",
"Fresno, CA",2016,26,,U,,U,,U,,U,,U,,U,,U,"Fresno, CA (36.731654, -119.785856)",
"Glendale, CA",2016,26,34,,25,,7,,2,,,-,,-,1,,"Glendale, CA (34.148138, -118.246437)",
"Houston, TX",2016,26,369,,219,,93,,38,,14,,5,,17,,"Houston, TX (29.760803, -95.369506)",
"Somerville, MA",2016,26,2,,,-,2,,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Baltimore, MD",2016,26,170,,96,,45,,17,,10,,2,,12,,"Baltimore, MD (39.290443, -76.612333)",
"Des Moines, IA",2016,26,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Seattle, WA",2016,26,,U,,U,,U,,U,,U,,U,,U,"Seattle, WA (47.603229, -122.33028)",
"Baton Rouge, LA",2016,26,89,,62,,20,,4,,2,,1,,5,,"Baton Rouge, LA (30.443319, -91.187488)",
"Ogden, UT",2016,26,38,,29,,2,,2,,4,,1,,6,,"Ogden, UT (41.222761, -111.970419)",
"Albany, NY",2016,26,48,,33,,12,,2,,1,,,-,1,,"Albany, NY (42.651242, -73.755418)",
"Syracuse, NY",2016,26,77,,53,,20,,3,,1,,,-,5,,"Syracuse, NY (43.047945, -76.147448)",
"Scranton, PA",2016,26,12,,10,,2,,,-,,-,,-,,-,"Scranton, PA (41.409113, -75.662346)",
"Springfield, MA",2016,26,50,,33,,10,,7,,,-,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"New York City, NY",2016,26,1159,,837,,224,,64,,20,,14,,34,,"New York City, NY (40.123164, -75.333718)",
"Camden, NJ",2016,26,13,,7,,5,,1,,,-,,-,,-,"Camden, NJ (39.945208, -75.118833)",
"Colorado Springs, CO",2016,26,38,,25,,9,,3,,,-,1,,2,,"Colorado Springs, CO (38.835224, -104.819798)",
"Boise, ID",2016,26,76,,49,,21,,4,,2,,,-,3,,"Boise, ID (43.597772, -83.884521)",
"Waterbury, CT",2016,26,21,,15,,4,,2,,,-,,-,2,,"Waterbury, CT (41.554261, -73.043069)",
"Los Angeles, CA",2016,26,277,,177,,65,,19,,9,,7,,14,,"Los Angeles, CA (34.052238, -118.243344)",
"San Jose, CA",2016,26,203,,151,,39,,8,,3,,2,,11,,"San Jose, CA (35.398134, -105.477067)",
"Santa Cruz, CA",2016,26,33,,25,,5,,2,,1,,,-,1,,"Santa Cruz, CA (32.71576, -117.163817)",
"Sacramento, CA",2016,26,204,,149,,43,,5,,3,,4,,15,,"Sacramento, CA (38.582087, -121.50012)",
"Tucson, AZ",2016,26,137,,95,,31,,11,,,-,,-,8,,"Tucson, AZ (35.167852, -103.726151)",
"Dayton, OH",2016,26,149,,103,,29,,13,,2,,2,,7,,"Dayton, OH (39.760982, -84.192203)",
"Albuquerque, NM",2016,26,140,,89,,33,,10,,5,,3,,9,,"Albuquerque, NM (35.084248, -106.649241)",
"San Diego, CA",2016,26,191,,125,,50,,5,,6,,4,,10,,"San Diego, CA (32.71576, -117.163817)",
"San Antonio, TX",2016,26,,U,,U,,U,,U,,U,,U,,U,"San Antonio, TX (29.425173, -98.494599)",
"Salt Lake City, UT",2016,26,141,,96,,23,,16,,3,,3,,6,,"Salt Lake City, UT (40.758478, -111.888142)",
"Pasadena, CA",2016,26,21,,17,,2,,1,,1,,,-,2,,"Pasadena, CA (34.14955, -118.141452)",
"Lexington, KY",2016,26,118,,90,,20,,8,,,-,,-,,-,"Lexington, KY (34.052238, -118.243344)",
"Cincinnati, OH",2016,26,89,,41,,29,,10,,4,,5,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"Buffalo, NY",2016,26,50,,33,,12,,5,,,-,,-,2,,"Buffalo, NY (39.945422, -78.64671)",
"Pittsburgh, PA_",2016,26,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Chicago, IL",2016,26,286,,176,,69,,25,,15,,1,,8,,"Chicago, IL (41.775002, -87.696388)",
"Nashville, TN",2016,26,152,,103,,32,,12,,1,,4,,15,,"Nashville, TN (36.166687, -86.779932)",
"Honolulu, HI",2016,26,88,,62,,20,,5,,1,,,-,11,,"Honolulu, HI (21.30992, -157.858158)",
"Austin, TX",2016,26,95,,67,,15,,6,,3,,4,,4,,"Austin, TX (30.264979, -97.746598)",
"Newark, NJ",2016,26,20,,15,,1,,2,,2,,,-,2,,"Newark, NJ (41.433057, -71.460182)",
"Evansville, IN",2016,26,38,,29,,5,,4,,,-,,-,2,,"Evansville, IN (37.975708, -87.569907)",
"Long Beach, CA",2016,26,65,,45,,12,,7,,1,,,-,7,,"Long Beach, CA (33.767168, -118.193723)",
"Fort Wayne, IN",2016,26,75,,58,,13,,2,,1,,1,,6,,"Fort Wayne, IN (41.331128, -73.987189)",
"Allentown, PA",2016,26,16,,14,,1,,,-,1,,,-,,-,"Allentown, PA (40.602753, -75.469759)",
"Peoria, IL",2016,26,49,,29,,15,,3,,,-,2,,5,,"Peoria, IL (32.283586, -90.10038)",
"Elizabeth, NJ",2016,26,12,,10,,2,,,-,,-,,-,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"Utica, NY",2016,26,14,,10,,2,,,-,2,,,-,1,,"Utica, NY (39.800598, -104.997498)",
"Trenton, NJ",2016,26,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ (40.220572, -74.759709)",
"Akron, OH",2016,26,51,,32,,13,,3,,,-,3,,5,,"Akron, OH (41.084821, -81.515607)",
"Yonkers, NY",2016,26,11,,7,,2,,2,,,-,,-,1,,"Yonkers, NY (40.932014, -73.896052)",
"Schenectady, NY",2016,26,13,,10,,3,,,-,,-,,-,1,,"Schenectady, NY (42.814219, -73.944103)",
"Cleveland, OH",2016,26,286,,195,,71,,15,,5,,,-,8,,"Cleveland, OH (41.505546, -81.6915)",
"Philadelphia, PA",2016,26,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Jersey City, NJ",2016,26,19,,14,,3,,1,,1,,,-,,-,"Jersey City, NJ (40.717495, -74.044111)",
"Rochester, NY",2016,26,157,,118,,23,,10,,5,,1,,7,,"Rochester, NY (43.155708, -77.612547)",
"Canton, OH",2016,26,47,,33,,10,,3,,,-,1,,3,,"Canton, OH (39.945208, -75.118833)",
New England,2016,27,428,,277,,100,,41,,5,,5,,28,,,
Mid. Atlantic,2016,27,1609,,1105,,357,,103,,23,,21,,54,,,
E.N. Central,2016,27,1739,,1143,,404,,127,,40,,25,,86,,,
W.N. Central,2016,27,484,,316,,126,,29,,6,,7,,38,,,
S. Atlantic,2016,27,914,,570,,232,,81,,18,,13,,50,,,
E.S. Central,2016,27,820,,526,,207,,62,,19,,6,,37,,,
W.S. Central,2016,27,1188,,785,,265,,84,,35,,19,,86,,,
Mountain,2016,27,872,,535,,215,,83,,27,,10,,51,,,
Pacific,2016,27,1432,,1020,,285,,76,,31,,20,,91,,,
Total_,2016,27,9486,,6277,,2191,,686,,204,,126,,521,,,
"Chicago, IL",2016,27,283,,175,,68,,28,,10,,2,,16,,"Chicago, IL (41.775002, -87.696388)",
"Camden, NJ",2016,27,14,,9,,4,,,-,1,,,-,1,,"Camden, NJ (39.945208, -75.118833)",
"Ogden, UT",2016,27,38,,27,,8,,2,,1,,,-,2,,"Ogden, UT (41.222761, -111.970419)",
"Reading, PA",2016,27,32,,23,,5,,3,,,-,1,,2,,"Reading, PA (40.336919, -75.921965)",
"Glendale, CA",2016,27,32,,25,,4,,3,,,-,,-,3,,"Glendale, CA (34.148138, -118.246437)",
"Springfield, MA",2016,27,28,,19,,7,,2,,,-,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Duluth, MN",2016,27,27,,15,,8,,4,,,-,,-,2,,"Duluth, MN (28.917512, -81.221278)",
"Seattle, WA",2016,27,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Detroit, MI",2016,27,113,,61,,38,,11,,3,,,-,9,,"Detroit, MI (42.332916, -83.047853)",
"Jersey City, NJ",2016,27,14,,11,,2,,1,,,-,,-,,-,"Jersey City, NJ (40.717495, -74.044111)",
"Knoxville, TN",2016,27,104,,59,,35,,9,,1,,,-,11,,"Knoxville, TN (35.962631, -83.916677)",
"Omaha, NE",2016,27,77,,46,,25,,4,,,-,2,,3,,"Omaha, NE (46.07035, -93.666319)",
"Memphis, TN",2016,27,150,,98,,26,,19,,7,,,-,6,,"Memphis, TN (35.143378, -90.052136)",
"Akron, OH",2016,27,45,,32,,8,,3,,1,,1,,2,,"Akron, OH (41.084821, -81.515607)",
"Providence, RI",2016,27,53,,34,,12,,7,,,-,,-,3,,"Providence, RI (41.824461, -71.412747)",
"Bridgeport, CT",2016,27,31,,19,,9,,2,,,-,1,,1,,"Bridgeport, CT (41.179195, -73.189476)",
"Rockford, IL",2016,27,45,,35,,7,,,-,2,,1,,2,,"Rockford, IL (42.266802, -89.088377)",
"Kansas City, MO",2016,27,73,,55,,12,,2,,1,,3,,8,,"Kansas City, MO (39.099792, -94.578559)",
"Houston, TX",2016,27,288,,184,,65,,29,,8,,2,,25,,"Houston, TX (29.760803, -95.369506)",
"Philadelphia, PA",2016,27,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Waterbury, CT",2016,27,26,,21,,3,,2,,,-,,-,2,,"Waterbury, CT (41.554261, -73.043069)",
"Cleveland, OH",2016,27,203,,144,,39,,13,,3,,4,,9,,"Cleveland, OH (41.505546, -81.6915)",
"Sacramento, CA",2016,27,168,,119,,41,,5,,2,,1,,10,,"Sacramento, CA (38.582087, -121.50012)",
"Trenton, NJ",2016,27,25,,18,,6,,1,,,-,,-,,-,"Trenton, NJ (40.220572, -74.759709)",
"Cambridge, MA",2016,27,5,,2,,1,,2,,,-,,-,,-,"Cambridge, MA (42.365248, -71.105015)",
"Paterson, NJ",2016,27,24,,13,,4,,4,,3,,,-,3,,"Paterson, NJ (40.916612, -74.172191)",
"Canton, OH",2016,27,25,,15,,7,,,-,1,,2,,1,,"Canton, OH (39.945208, -75.118833)",
"Fort Wayne, IN",2016,27,76,,55,,15,,2,,2,,2,,3,,"Fort Wayne, IN (41.331128, -73.987189)",
"Wichita, KS",2016,27,90,,62,,18,,7,,2,,1,,7,,"Wichita, KS (39.960481, -75.605214)",
"San Antonio, TX",2016,27,185,,133,,35,,9,,3,,5,,15,,"San Antonio, TX (29.425173, -98.494599)",
"Phoenix, AZ",2016,27,183,,105,,54,,12,,7,,3,,6,,"Phoenix, AZ (30.406931, -87.217578)",
"Wilmington, DE",2016,27,12,,6,,5,,1,,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Honolulu, HI",2016,27,63,,48,,11,,1,,,-,3,,4,,"Honolulu, HI (21.30992, -157.858158)",
"New York City, NY",2016,27,898,,626,,195,,53,,15,,9,,23,,"New York City, NY (40.123164, -75.333718)",
"Youngstown, OH",2016,27,41,,36,,5,,,-,,-,,-,1,,"Youngstown, OH (41.100083, -80.649387)",
"San Francisco, CA",2016,27,99,,81,,14,,2,,1,,1,,5,,"San Francisco, CA (37.78008, -122.420168)",
"Colorado Springs, CO",2016,27,29,,21,,6,,2,,,-,,-,3,,"Colorado Springs, CO (38.835224, -104.819798)",
"Pueblo, CO",2016,27,15,,14,,1,,,-,,-,,-,1,,"Pueblo, CO (28.151559, -82.351822)",
"Syracuse, NY",2016,27,85,,65,,14,,4,,1,,1,,6,,"Syracuse, NY (43.047945, -76.147448)",
"Schenectady, NY",2016,27,18,,8,,8,,2,,,-,,-,1,,"Schenectady, NY (42.814219, -73.944103)",
"El Paso, TX",2016,27,97,,74,,13,,3,,7,,,-,4,,"El Paso, TX (31.76006, -106.492257)",
"Salt Lake City, UT",2016,27,140,,82,,26,,22,,7,,3,,5,,"Salt Lake City, UT (40.758478, -111.888142)",
"Worcester, MA",2016,27,35,,29,,4,,1,,,-,1,,7,,"Worcester, MA (42.262073, -71.802278)",
"Lexington, KY",2016,27,132,,87,,34,,7,,2,,2,,4,,"Lexington, KY (34.052238, -118.243344)",
"Pasadena, CA",2016,27,21,,17,,3,,1,,,-,,-,,-,"Pasadena, CA (34.14955, -118.141452)",
"Minneapolis, MN",2016,27,44,,29,,9,,3,,2,,1,,2,,"Minneapolis, MN (44.977479, -93.264346)",
"Little Rock, AR",2016,27,67,,43,,18,,3,,1,,2,,6,,"Little Rock, AR (34.748745, -92.275105)",
"Austin, TX",2016,27,79,,60,,11,,5,,2,,1,,6,,"Austin, TX (30.264979, -97.746598)",
"Elizabeth, NJ",2016,27,8,,4,,4,,,-,,-,,-,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"Utica, NY",2016,27,13,,8,,4,,1,,,-,,-,,-,"Utica, NY (39.800598, -104.997498)",
"Columbus, OH",2016,27,200,,123,,55,,13,,4,,5,,8,,"Columbus, OH (39.962649, -82.996216)",
"Dayton, OH",2016,27,137,,94,,25,,16,,2,,,-,5,,"Dayton, OH (39.760982, -84.192203)",
"Toledo, OH",2016,27,76,,46,,21,,7,,2,,,-,6,,"Toledo, OH (41.655298, -83.535717)",
"Shreveport, LA",2016,27,39,,26,,8,,2,,1,,2,,2,,"Shreveport, LA (32.51424, -93.747757)",
"Scranton, PA",2016,27,22,,17,,3,,1,,,-,1,,,-,"Scranton, PA (41.409113, -75.662346)",
"Erie, PA",2016,27,51,,41,,8,,1,,,-,1,,1,,"Erie, PA (34.1647, -114.300301)",
"Mobile, AL",2016,27,90,,50,,34,,5,,1,,,-,4,,"Mobile, AL (34.661541, -77.695461)",
"South Bend, IN",2016,27,47,,36,,8,,1,,2,,,-,1,,"South Bend, IN (41.675032, -86.251962)",
"Fresno, CA",2016,27,120,,78,,31,,4,,4,,3,,7,,"Fresno, CA (36.731654, -119.785856)",
"Spokane, WA",2016,27,45,,35,,6,,1,,1,,2,,1,,"Spokane, WA (47.658999, -117.425022)",
"Newark, NJ",2016,27,36,,14,,14,,6,,,-,2,,1,,"Newark, NJ (41.433057, -71.460182)",
"Lincoln, NC",2016,27,41,,34,,6,,1,,,-,,-,9,,"Lincoln, NC (40.813599, -96.70261)",
"Las Vegas, NV",2016,27,257,,159,,67,,19,,10,,2,,21,,"Las Vegas, NV (36.169202, -115.140597)",
"Baton Rouge, LA",2016,27,60,,39,,12,,6,,3,,,-,5,,"Baton Rouge, LA (30.443319, -91.187488)",
"Tulsa, OK",2016,27,104,,71,,27,,3,,,-,3,,8,,"Tulsa, OK (61.096484, -160.967455)",
"Tucson, AZ",2016,27,,U,,U,,U,,U,,U,,U,,U,"Tucson, AZ (35.167852, -103.726151)",
"Buffalo, NY",2016,27,137,,82,,37,,14,,2,,2,,8,,"Buffalo, NY (39.945422, -78.64671)",
"Santa Cruz, CA",2016,27,30,,21,,7,,2,,,-,,-,3,,"Santa Cruz, CA (32.71576, -117.163817)",
"Savannah, GA",2016,27,69,,43,,19,,5,,2,,,-,4,,"Savannah, GA (40.115007, -111.654713)",
"New Bedford, MA",2016,27,19,,11,,2,,6,,,-,,-,,-,"New Bedford, MA (41.63405, -70.92766)",
"Dallas, TX",2016,27,152,,89,,39,,15,,8,,1,,9,,"Dallas, TX (37.691113, -122.472221)",
"St. Petersburg, FL",2016,27,53,,36,,14,,2,,1,,,-,3,,"St. Petersburg, FL (27.772069, -82.638488)",
"Washington, D.C.",2016,27,46,,22,,16,,4,,2,,2,,2,,"Washington, D.C. (38.892062, -77.019912)",
"Long Beach, CA",2016,27,49,,36,,8,,5,,,-,,-,4,,"Long Beach, CA (33.767168, -118.193723)",
"Fort Worth, TX",2016,27,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Corpus Christi, TX",2016,27,67,,46,,18,,2,,,-,1,,4,,"Corpus Christi, TX (27.796416, -97.404131)",
"Lansing, MI",2016,27,24,,16,,7,,1,,,-,,-,3,,"Lansing, MI (42.733625, -84.553927)",
"Atlanta, GA",2016,27,126,,75,,33,,11,,3,,4,,6,,"Atlanta, GA (33.748547, -84.391502)",
"Boston, MA",2016,27,118,,72,,33,,8,,2,,3,,5,,"Boston, MA (42.358894, -71.056742)",
"Denver, CO",2016,27,15,,8,,6,,,-,,-,1,,3,,"Denver, CO (39.738453, -104.984853)",
"Boise, ID",2016,27,64,,44,,13,,7,,,-,,-,2,,"Boise, ID (43.597772, -83.884521)",
"New Orleans, LA",2016,27,50,,20,,19,,7,,2,,2,,2,,"New Orleans, LA (29.950621, -90.074948)",
"Los Angeles, CA",2016,27,237,,159,,53,,18,,5,,2,,24,,"Los Angeles, CA (34.052238, -118.243344)",
"Grand Rapids, MI",2016,27,50,,36,,9,,1,,1,,3,,1,,"Grand Rapids, MI (47.925705, -97.036068)",
"Richmond, VA",2016,27,40,,23,,14,,1,,1,,1,,1,,"Richmond, VA (37.540759, -77.433932)",
"Tampa, FL",2016,27,99,,65,,20,,11,,1,,2,,4,,"Tampa, FL (37.8606, -78.804199)",
"Allentown, PA",2016,27,36,,22,,10,,1,,,-,3,,1,,"Allentown, PA (40.602753, -75.469759)",
"Berkeley, CA",2016,27,9,,6,,3,,,-,,-,,-,,-,"Berkeley, CA (40.692529, -73.990996)",
"Albany, NY",2016,27,44,,37,,7,,,-,,-,,-,2,,"Albany, NY (42.651242, -73.755418)",
"Jacksonville, FL",2016,27,132,,90,,26,,13,,2,,1,,11,,"Jacksonville, FL (30.325968, -81.65676)",
"Pittsburgh, PA_",2016,27,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Lynn, MA",2016,27,6,,3,,3,,,-,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Lowell, MA",2016,27,31,,21,,7,,3,,,-,,-,1,,"Lowell, MA (40.672798, -76.279404)",
"Montgomery, AL",2016,27,33,,23,,8,,2,,,-,,-,3,,"Montgomery, AL (32.376547, -86.299651)",
"St. Louis, MO",2016,27,62,,28,,28,,5,,1,,,-,3,,"St. Louis, MO (38.630276, -90.200309)",
"San Jose, CA",2016,27,174,,132,,22,,11,,5,,4,,7,,"San Jose, CA (35.398134, -105.477067)",
"Somerville, MA",2016,27,3,,1,,1,,1,,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Portland, OR",2016,27,107,,75,,23,,6,,2,,1,,4,,"Portland, OR (45.516018, -122.681425)",
"Baltimore, MD",2016,27,110,,50,,37,,18,,3,,2,,6,,"Baltimore, MD (39.290443, -76.612333)",
"Cincinnati, OH",2016,27,73,,43,,22,,4,,3,,1,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"Peoria, IL",2016,27,53,,41,,9,,1,,2,,,-,7,,"Peoria, IL (32.283586, -90.10038)",
"Fall River, MA",2016,27,31,,18,,9,,3,,1,,,-,5,,"Fall River, MA (41.701025, -71.155389)",
"Hartford, CT",2016,27,42,,27,,9,,4,,2,,,-,4,,"Hartford, CT (41.765775, -72.673356)",
"Milwaukee, WI",2016,27,66,,43,,15,,5,,1,,2,,,-,"Milwaukee, WI (43.041072, -87.909421)",
"St. Paul, MN",2016,27,48,,32,,15,,1,,,-,,-,3,,"St. Paul, MN (44.943719, -93.094281)",
"Norfolk, VA",2016,27,41,,32,,8,,1,,,-,,-,1,,"Norfolk, VA (36.846164, -76.285913)",
"Birmingham, AL",2016,27,117,,81,,25,,8,,2,,1,,3,,"Birmingham, AL (33.522859, -86.807705)",
"Charlotte, NC",2016,27,123,,79,,28,,13,,2,,1,,8,,"Charlotte, NC (35.222936, -80.840161)",
"Yonkers, NY",2016,27,18,,11,,6,,1,,,-,,-,1,,"Yonkers, NY (40.932014, -73.896052)",
"Albuquerque, NM",2016,27,131,,75,,34,,19,,2,,1,,8,,"Albuquerque, NM (35.084248, -106.649241)",
"Des Moines, IA",2016,27,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Chattanooga, TN",2016,27,65,,46,,12,,2,,4,,1,,1,,"Chattanooga, TN (35.045756, -85.308287)",
"Kansas City, KS",2016,27,22,,15,,5,,2,,,-,,-,1,,"Kansas City, KS (39.099792, -94.578559)",
"Miami, FL",2016,27,63,,49,,12,,1,,1,,,-,3,,"Miami, FL (44.977479, -93.264346)",
